Column1,Column2,Column3
676,16,0
25,100,0
289,100,0
1444,16,0
625,9,0
36,64,0
324,100,0
361,64,0
81,196,0
289,289,0
196,169,0
400,100,0
64,169,0
25,144,0
676,81,0
576,121,0
0,225,0
256,144,0
1444,64,0
225,121,0
36,169,0
484,64,0
1600,16,0
64,81,0
64,121,0
289,64,0
196,121,0
361,225,0
169,196,0
441,100,0
64,121,0
900,196,0
100,121,0
1024,49,0
484,100,0
1,100,0
289,49,0
841,49,0
1,169,0
100,169,0
400,64,0
900,64,0
1,169,0
4,144,0
1936,25,0
2500,25,0
144,144,0
64,144,0
1156,81,0
676,64,0
0,121,0
81,121,0
361,121,0
169,196,0
841,100,0
25,36,0
441,100,0
100,256,0
196,256,0
441,121,0
625,144,0
1,144,0
49,64,0
1024,16,0
324,81,0
1,196,0
289,100,0
1369,64,0
225,121,0
4,169,0
576,100,0
676,121,0
36,256,0
49,169,0
576,64,0
361,100,0
576,36,0
100,225,0
4,121,0
169,81,0
81,144,0
36,81,0
729,49,0
64,144,0
0,169,0
1089,36,0
2116,25,0
100,196,0
9,289,0
900,121,0
1089,36,0
9,64,0
100,36,0
100,25,0
16,225,0
676,529,0
0,324,0
676,121,0
4,121,0
256,169,0
169,64,0
900,81,0
36,225,0
0,196,0
576,81,0
625,81,0
9,169,0
100,81,0
1089,9,0
441,49,0
4,144,0
324,81,0
1296,16,0
361,36,0
25,36,0
484,25,0
576,49,0
9,196,0
36,196,0
361,121,0
289,169,0
100,256,0
49,144,0
361,64,0
196,144,0
9,225,0
529,81,0
1521,25,0
144,100,0
16,196,0
441,81,0
961,25,0
4,49,0
169,81,0
144,64,0
64,225,0
324,484,0
36,361,0
576,100,0
100,169,0
289,324,0
16,169,0
1024,25,0
324,64,0
4,81,0
484,25,0
841,36,0
25,169,0
1,196,0
361,64,0
484,49,0
0,121,0
81,81,0
1521,9,0
1296,16,0
169,144,0
225,144,0
729,49,0
100,81,0
9,169,0
225,144,0
361,144,0
121,196,0
256,100,0
256,36,0
400,144,0
49,324,0
49,225,0
324,81,0
225,81,0
0,144,0
361,81,0
1369,36,0
196,121,0
1,196,0
289,100,0
529,81,0
0,196,0
4,196,0
529,81,0
289,121,0
169,256,0
16,144,0
625,25,0
256,81,0
16,196,0
49,100,0
625,36,0
64,100,0
36,144,0
169,64,0
625,49,0
9,169,0
1,196,0
1296,49,0
1936,25,0
169,144,0
25,144,0
676,9,0
484,4,0
0,121,0
36,169,0
361,121,0
36,256,0
529,361,0
25,144,0
484,36,0
9,121,0
100,144,0
324,64,0
625,100,0
4,196,0
9,144,0
576,81,0
256,196,0
0,256,0
289,81,0
1369,25,0
289,100,0
0,196,0
169,64,0
256,9,0
36,9,0
25,9,0
484,4,0
289,144,0
400,841,0
324,961,0
625,196,0
1444,1,0
169,9,0
100,49,0
900,1,0
9,25,0
1089,225,0
81,36,0
3844,64,0
2209,2209,0
484,4356,0
1849,1444,1
2500,4,1
961,441,1
6724,676,1
100,361,1
1225,1,1
441,121,1
3721,81,1
15129,676,1
7569,64,1
16,3249,1
729,5776,1
7921,3481,1
2500,81,1
3364,1521,1
10609,2601,1
6400,784,1
12321,144,1
12544,2025,1
49,2025,1
1444,729,1
6084,961,1
2601,1764,1
24649,676,1
52900,0,1
4096,100,1
3721,625,1
0,961,1
625,144,1
196,36,1
3025,256,1
11881,841,1
1936,2025,1
19321,1849,1
169,121,1
4489,324,1
14400,441,1
22500,16,1
3025,64,1
14161,64,1
361,256,1
4900,484,1
41616,400,1
14884,529,1
1764,729,1
1,225,1
4489,49,1
9604,256,1
39204,324,1
256,9,1
7225,0,1
3364,100,1
12100,144,1
1764,36,1
12544,289,1
289,529,1
2916,16,1
5929,49,1
4489,256,1
1764,1089,1
169,400,1
7396,289,1
5776,900,1
30976,576,1
2704,25,1
47524,529,1
2401,225,1
361,81,1
54756,49,1
109561,49,1
5929,900,1
3600,961,1
196,841,1
26569,1849,1
104976,1369,1
19044,1,1
6561,361,1
1225,9,1
21316,441,1
484,25,1
23104,0,1
196,324,1
4356,484,1
9801,196,1
38025,400,1
7921,361,1
4225,0,1
21316,121,1
3249,36,1
6084,729,1
676,256,1
25921,36,1
0,4,1
26569,36,1
1156,1,1
729,4,1
25281,16,1
32400,121,1
1764,361,1
13924,36,1
1,1156,1
9,729,1
13456,169,1
36,484,1
25600,676,1
36,100,1
42849,16,1
3969,576,1
6400,961,1
8281,0,1
30276,256,1
8649,256,1
30625,1444,1
4096,484,1
2209,576,1
56644,1156,1
45369,64,1
6084,400,1
3136,49,1
19600,400,1
2601,676,1
5329,400,1
3969,529,1
24964,225,1
144,196,1
28561,169,1
1936,400,1
1600,625,1
8464,16,1
14641,0,1
1296,144,1
24649,169,1
168100,4,1
148225,9,1
16900,1,1
3249,289,1
13689,484,1
121,1,1
20736,196,1
961,25,1
961,144,1
27556,2025,1
45369,2704,1
1024,841,1
12769,324,1
4356,400,1
12100,64,1
1681,196,1
1089,81,1
11881,36,1
4761,4,1
676,16,1
6561,784,1
18769,1369,1
9025,256,1
50176,16,1
1936,324,1
38809,361,1
9,100,1
144,529,1
51076,1521,1
18496,625,1
30276,36,1
26569,400,1
144,256,1
1369,100,1
14400,16,1
1849,256,1
26244,1156,1
196,484,1
6400,100,1
5041,576,1
3600,361,1
54756,121,1
89401,225,1
2916,49,1
1600,121,1
76729,0,1
54756,4,1
25,196,1
2025,484,1
14641,529,1
16129,529,1
75076,144,1
1764,64,1
9801,49,1
9801,729,1
37249,2601,1
16,1764,1
3136,729,1
9604,225,1
2209,9,1
20736,144,1
8464,9,1
5625,400,1
100,196,1
9216,9,1
3844,100,1
22500,361,1
2025,256,1
11664,225,1
10201,361,1
18225,49,1
8836,196,1
12321,0,1
16129,841,1
20736,361,1
3364,121,1
5329,169,1
2601,4,1
169,9,1
19044,4,1
25,169,1
4225,961,1
47961,361,1
133956,64,1
5184,576,1
10201,676,1
13924,9,1
38025,400,1
3249,1,1
17161,64,1
400,121,1
7056,0,1
85264,361,1
16129,196,1
13924,81,1
100,576,1
22500,1089,1
1225,529,1
20736,484,1
4225,961,1
23409,784,1
2601,289,1
14884,196,1
1089,324,1
729,169,1
16129,0,1
11025,1,1
36,0,1
19321,25,1
97969,49,1
18769,0,1
7396,144,1
225,324,1
225,400,1
31684,900,1
29241,676,1
13225,81,1
24964,1,1
9216,16,1
20449,1,1
2304,4,1
3025,49,1
7569,289,1
100,121,1
24336,16,1
49,9,1
37636,4,1
196,49,1
34969,9,1
100,484,1
12321,784,1
43264,324,1
109561,169,1
36,324,1
9801,81,1
7396,1,1
4489,196,1
131769,1369,1
40401,784,1
13456,81,1
784,36,1
18769,100,1
1444,0,1
36481,64,1
1024,1,1
36481,289,1
16,289,1
5184,64,1
20449,25,1
12544,1,1
66049,25,1
136161,289,1
38416,2116,1
49284,1849,1
128881,324,1
38025,9,1
1764,4,1
1296,16,1
11881,100,1
16384,1225,1
78400,961,1
19881,81,1
2809,169,1
24649,961,1
25921,484,1
49,4,1
4,81,1
16641,784,1
7396,1849,1
2916,729,1
1849,144,1
22801,1024,1
5625,324,1
59536,169,1
196,1089,1
16384,1156,1
1369,49,1
1296,49,1
40401,1444,1
24649,2500,1
18769,1024,1
14884,729,1
9801,900,1
81,9,1
68121,784,1
24025,196,1
2116,400,1
6084,729,1
60516,400,1
7396,324,1
5625,0,1
900,529,1
10609,225,1
289,196,1
225,256,1
47524,144,1
67081,625,1
900,49,1
49,144,1
5184,484,1
29929,1764,1
109561,2116,1
10201,784,1
7569,324,1
6561,484,1
32041,225,1
5476,0,1
17689,0,1
38809,49,1
91809,0,1
1024,169,1
9025,16,1
9,256,1
2304,49,1
34225,81,1
6561,0,1
784,121,1
13456,36,1
32041,16,1
4225,361,1
34969,400,1
2401,100,1
21316,441,1
4761,1369,1
6561,256,1
32400,289,1
61009,361,1
4761,25,1
729,0,1
13924,144,1
100,1444,1
23104,2209,1
289,1296,1
24964,1225,1
64,2601,1
23409,1444,1
6889,100,1
58564,1156,1
576,361,1
29584,49,1
4900,16,1
37249,81,1
784,676,1
441,441,1
1024,16,1
19321,81,1
84100,529,1
8836,144,1
8649,0,1
10000,169,1
76176,576,1
8836,841,1
5329,2209,1
2025,3721,1
2304,2025,1
36481,256,1
52900,36,1
2601,49,1
4356,1,1
50176,361,1
22201,256,1
100,81,1
3844,289,1
17424,784,1
6084,400,1
45369,196,1
400,484,1
8464,169,1
7056,144,1
19600,256,1
1024,81,1
1936,196,1
10816,529,1
1369,1024,1
28900,1936,1
14161,2809,1
1521,1444,1
4624,9,1
44100,256,1
9,169,1
37249,576,1
3481,25,1
63001,0,1
4,361,1
29241,729,1
2116,256,1
11664,225,1
93025,625,1
24964,400,1
11449,100,1
36,361,1
36481,361,1
100,0,1
38809,25,1
2025,121,1
10609,400,1
2601,81,1
27225,196,1
529,2025,1
900,2304,1
16129,484,1
28561,16,1
1681,0,1
9216,64,1
121801,676,1
126736,900,1
10609,361,1
729,64,1
225,361,1
51984,4225,1
108900,4225,1
9025,484,1
1225,1,1
24025,144,1
50176,36,1
121,576,1
3136,1600,1
1225,676,1
2209,169,1
33489,81,1
4096,1,1
14400,49,1
121,36,1
24964,225,1
324,25,1
35344,625,1
81,1089,1
5329,2116,1
16641,2304,1
7744,841,1
51529,289,1
51529,1225,1
5476,2704,1
8281,1225,1
15129,169,1
8100,289,1
3600,256,1
2116,36,1
25921,100,1
4489,576,1
49284,484,1
100,121,1
40000,81,1
1089,256,1
1764,16,1
65536,225,1
163216,169,1
24336,36,1
324,25,1
19321,256,1
5329,576,1
28561,529,1
23104,576,1
1681,144,1
45369,576,1
106276,1600,1
7744,625,1
9216,400,1
