625	400	0
0	196	0
400	9	0
529	784	0
1369	2209	0
3721	2704	0
3844	2304	0
2025	1936	0
1600	1600	0
1521	729	0
225	196	0
81	36	0
121	0	0
144	64	0
1089	225	0
1681	225	0
361	100	0
16	16	0
49	9	0
16	196	0
841	576	0
1369	1024	0
961	1369	0
1521	1369	0
2209	961	0
961	576	0
144	400	0
289	196	0
289	9	0
4	9	0
144	36	0
1	49	0
16	100	0
324	100	0
36	16	0
361	16	0
256	64	0
4	121	0
49	256	0
841	441	0
676	625	0
256	729	0
484	729	0
676	529	0
144	289	0
36	144	0
324	36	0
400	1	0
25	9	0
36	49	0
400	49	0
256	36	0
1	100	0
64	256	0
324	225	0
4	121	0
81	100	0
49	144	0
324	121	0
1	81	0
49	121	0
121	225	0
484	256	0
196	196	0
225	169	0
576	144	0
289	144	0
36	144	0
225	169	0
625	81	0
121	49	0
4	100	0
9	81	0
25	4	0
36	0	0
1	25	0
400	169	0
625	225	0
64	169	0
144	289	0
961	400	0
676	441	0
100	441	0
144	324	0
484	144	0
100	49	0
9	36	0
9	25	0
100	0	0
9	9	0
49	4	0
121	0	0
324	9	0
36	64	0
64	256	0
529	256	0
256	169	0
9	169	0
324	400	0
1225	676	0
441	676	0
1	400	0
64	144	0
169	16	0
4	1	0
100	9	0
1	25	0
25	16	0
0	4	0
36	100	0
529	196	0
625	361	0
484	784	0
1089	1296	0
1936	1225	0
1156	961	0
400	676	0
324	324	0
144	36	0
25	0	0
100	1	0
1	4	0
16	25	0
400	64	0
289	64	0
9	64	0
64	1	0
4	169	0
256	676	0
1156	1024	0
1024	1024	0
676	1296	0
1521	1444	0
1681	1024	0
289	484	0
4	196	0
100	16	0
49	25	0
169	81	0
225	81	0
9	100	0
81	144	0
441	81	0
25	0	0
400	100	0
625	484	0
729	1089	0
1764	1444	0
2116	1369	0
625	1024	0
36	484	0
144	169	0
169	64	0
0	25	0
1	0	0
64	49	0
9	169	0
81	121	0
1	16	0
169	0	0
121	36	0
64	324	0
625	841	0
1089	1296	0
324	1600	0
225	1444	0
900	784	0
784	441	0
25	256	0
16	49	0
16	0	0
16	49	0
324	144	0
36	196	0
100	144	0
9	9	0
1	81	0
361	289	0
961	400	0
529	729	0
576	1156	0
1521	1369	0
1089	841	0
121	400	0
144	225	0
576	64	0
49	0	0
289	36	0
121	64	0
0	121	0
121	100	0
324	25	0
0	1	0
225	81	0
144	256	0
225	484	0
1156	676	0
1521	961	0
676	1225	0
676	1156	0
1521	676	0
1024	256	0
121	121	0
49	64	0
36	0	0
256	64	0
961	100	0
196	49	0
0	9	0
81	1	0
16	100	0
361	361	0
961	676	0
676	1024	0
1156	1089	0
2116	841	0
1225	625	0
324	484	0
400	289	0
484	36	0
4	0	0
121	1	0
16	9	0
1	64	0
169	64	0
100	1	0
100	49	0
196	121	0
25	225	0
256	441	0
1521	676	0
1089	729	0
324	676	0
484	484	0
841	256	0
144	169	0
16	121	0
0	25	0
1	0	0
121	4	0
64	4	0
169	25	0
324	36	0
36	4	0
169	196	0
1024	361	0
961	441	0
400	625	0
576	729	0
576	441	0
0	225	0
121	169	0
16	121	0
36	16	0
196	9	0
225	0	0
64	25	0
400	64	0
169	81	0
400	144	0
484	169	0
49	256	0
441	324	0
144	196	0
1936	81	0
1156	81	0
64	256	0
1	441	0
1	121	0
0	1	0
144	4	0
2304	81	0
2704	324	0
25	400	0
676	289	0
64	100	0
25	9	0
1	0	0
144	1	0
1089	100	0
289	484	0
361	625	0
81	256	0
841	100	0
1089	400	0
289	729	0
9	144	0
9	64	0
169	225	0
1089	196	0
3721	64	0
3600	1	0
676	225	0
225	961	0
1225	1225	0
0	625	0
7225	121	0
7744	0	0
49	0	0
3025	169	0
6084	784	0
3481	729	0
400	361	0
144	256	0
400	361	0
49	289	0
841	64	0
3364	0	0
4	0	0
9216	36	0
10816	256	0
1296	625	0
484	324	0
2116	0	0
3844	1	0
121	36	0
7569	144	0
14641	225	0
5476	529	0
25	576	0
169	196	0
324	324	0
1089	529	0
169	169	0
400	16	0
1764	25	0
841	169	0
81	64	0
1444	64	0
49	196	0
1764	64	0
3481	64	0
8100	400	0
11236	64	0
676	625	0
7056	1936	0
7225	1849	0
625	841	0
625	289	0
3969	441	0
4489	625	0
1600	484	0
441	576	0
361	625	0
64	576	0
100	361	0
441	16	0
9604	36	0
12996	36	0
2401	144	0
625	324	0
2916	169	0
2025	4	0
400	0	0
4	16	0
144	144	0
961	16	0
